menu_id,tag
batch-06-045,batch-06
batch-06-045,makan-malam
batch-06-045,tkpi-terukur
batch-06-046,batch-06
batch-06-046,makan-malam
batch-06-046,tkpi-terukur
batch-06-047,batch-06
batch-06-047,makan-malam
batch-06-047,tkpi-terukur
batch-06-048,batch-06
batch-06-048,makan-malam
batch-06-048,tkpi-terukur
batch-06-049,batch-06
batch-06-049,makan-malam
batch-06-049,tkpi-terukur
batch-06-050,batch-06
batch-06-050,makan-malam
batch-06-050,tkpi-terukur
batch-06-051,batch-06
batch-06-051,makan-malam
batch-06-051,tkpi-terukur
batch-06-052,batch-06
batch-06-052,camilan
batch-06-052,tkpi-terukur
batch-06-053,batch-06
batch-06-053,camilan
batch-06-053,tkpi-terukur
batch-06-054,batch-06
batch-06-054,camilan
batch-06-054,tkpi-terukur
batch-06-055,batch-06
batch-06-055,camilan
batch-06-055,tkpi-terukur
batch-06-056,batch-06
batch-06-056,camilan
batch-06-056,tkpi-terukur
batch-06-057,batch-06
batch-06-057,camilan
batch-06-057,tkpi-terukur
batch-06-058,batch-06
batch-06-058,camilan
batch-06-058,tkpi-terukur
batch-06-059,batch-06
batch-06-059,camilan
batch-06-059,tkpi-terukur
batch-06-060,batch-06
batch-06-060,camilan
batch-06-060,tkpi-terukur
batch-07-001,batch-07
batch-07-001,sarapan
batch-07-001,tkpi-terukur
batch-07-002,batch-07
batch-07-002,sarapan
batch-07-002,tkpi-terukur
batch-07-003,batch-07
batch-07-003,sarapan
batch-07-003,tkpi-terukur
batch-07-004,batch-07
batch-07-004,sarapan
batch-07-004,tkpi-terukur
batch-07-005,batch-07
batch-07-005,sarapan
batch-07-005,tkpi-terukur
batch-07-006,batch-07
batch-07-006,sarapan
batch-07-006,tkpi-terukur
batch-07-007,batch-07
batch-07-007,sarapan
batch-07-007,tkpi-terukur
batch-07-008,batch-07
batch-07-008,sarapan
batch-07-008,tkpi-terukur
batch-07-009,batch-07
batch-07-009,sarapan
batch-07-009,tkpi-terukur
batch-07-010,batch-07
batch-07-010,sarapan
batch-07-010,tkpi-terukur
batch-07-011,batch-07
batch-07-011,sarapan
batch-07-011,tkpi-terukur
batch-07-012,batch-07
batch-07-012,sarapan
batch-07-012,tkpi-terukur
batch-07-013,batch-07
batch-07-013,sarapan
batch-07-013,tkpi-terukur
batch-07-014,batch-07
batch-07-014,sarapan
batch-07-014,tkpi-terukur
batch-07-015,batch-07
batch-07-015,sarapan
batch-07-015,tkpi-terukur
batch-07-016,batch-07
batch-07-016,makan-siang
batch-07-016,tkpi-terukur
batch-07-017,batch-07
batch-07-017,makan-siang
batch-07-017,tkpi-terukur
batch-07-018,batch-07
batch-07-018,makan-siang
batch-07-018,tkpi-terukur
batch-07-019,batch-07
batch-07-019,makan-siang
batch-07-019,tkpi-terukur
batch-07-020,batch-07
batch-07-020,makan-siang
batch-07-020,tkpi-terukur
batch-07-021,batch-07
batch-07-021,makan-siang
batch-07-021,tkpi-terukur
batch-07-022,batch-07
batch-07-022,makan-siang
batch-07-022,tkpi-terukur
batch-07-023,batch-07
batch-07-023,makan-siang
batch-07-023,tkpi-terukur
batch-07-024,batch-07
batch-07-024,makan-siang
batch-07-024,tkpi-terukur
batch-07-025,batch-07
batch-07-025,makan-siang
batch-07-025,tkpi-terukur
batch-07-026,batch-07
batch-07-026,makan-siang
batch-07-026,tkpi-terukur
batch-07-027,batch-07
batch-07-027,makan-siang
batch-07-027,tkpi-terukur
batch-07-028,batch-07
batch-07-028,makan-siang
batch-07-028,tkpi-terukur
batch-07-029,batch-07
batch-07-029,makan-siang
batch-07-029,tkpi-terukur
batch-07-030,batch-07
batch-07-030,makan-siang
batch-07-030,tkpi-terukur
batch-07-031,batch-07
batch-07-031,makan-siang
batch-07-031,tkpi-terukur
batch-07-032,batch-07
batch-07-032,makan-siang
batch-07-032,tkpi-terukur
batch-07-033,batch-07
batch-07-033,makan-siang
batch-07-033,tkpi-terukur
batch-07-034,batch-07
batch-07-034,makan-malam
batch-07-034,tkpi-terukur
batch-07-035,batch-07
batch-07-035,makan-malam
batch-07-035,tkpi-terukur
batch-07-036,batch-07
batch-07-036,makan-malam
batch-07-036,tkpi-terukur
batch-07-037,batch-07
batch-07-037,makan-malam
batch-07-037,tkpi-terukur
batch-07-038,batch-07
batch-07-038,makan-malam
batch-07-038,tkpi-terukur
batch-07-039,batch-07
batch-07-039,makan-malam
batch-07-039,tkpi-terukur
batch-07-040,batch-07
