rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,params
31,0.9328653037050818,0.034173370917904795,0.9881299751369838,0.0028764134755725865,0.06760272979736329,0.021732739926713852,0.026730871200561522,0.0067072521642517376,balanced,entropy,10,1,2,0.8847532116294794,0.9660919540229885,0.9576271186440678,0.8982758620689655,0.9575783721599079,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'entropy', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
32,0.9327623377999604,0.018799164376742387,0.9826261827589331,0.0036452053939931596,0.07393627166748047,0.02763299833764577,0.02893228530883789,0.013922467841231762,,gini,,1,10,0.9186612576064909,0.931712962962963,0.9491379310344827,0.9066724187517975,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
32,0.9327623377999604,0.018799164376742387,0.9822021419574296,0.0036939579047902695,0.050501346588134766,0.006350146700087451,0.019636058807373048,0.008401313757594108,,gini,10,1,10,0.9186612576064909,0.931712962962963,0.9491379310344827,0.9066724187517975,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
32,0.9327623377999604,0.018799164376742387,0.9826261827589331,0.0036452053939931596,0.0328826904296875,0.005276442128909213,0.016910839080810546,0.008111875414217967,,gini,15,1,10,0.9186612576064909,0.931712962962963,0.9491379310344827,0.9066724187517975,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
32,0.9327623377999604,0.01879916437674237,0.9822021419574296,0.0036939579047902695,0.04767289161682129,0.01292124619251511,0.018872928619384766,0.006638842190102236,balanced,gini,10,1,10,0.918661257606491,0.931712962962963,0.9491379310344827,0.9066724187517975,0.9576271186440678,"{'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
36,0.9327470191681858,0.02073260434834875,0.9862621325188776,0.0030437051810493837,0.023104047775268553,0.0022352745954209675,0.013242864608764648,0.003152419988450447,,entropy,,2,5,0.9101184194483483,0.957578372159908,0.9576271186440678,0.9150345622119815,0.9233766233766234,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}"
36,0.9327470191681858,0.02073260434834875,0.9862621325188776,0.0030437051810493837,0.05117034912109375,0.02411539621339609,0.026654863357543947,0.013468651153708266,,entropy,15,2,5,0.9101184194483483,0.957578372159908,0.9576271186440678,0.9150345622119815,0.9233766233766234,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}"
38,0.932732050119381,0.022422680257056703,0.9927959633498483,0.0025425252548637524,0.10562214851379395,0.025690975231538352,0.022660207748413087,0.008811374539938141,,gini,,1,5,0.9017072346179852,0.931712962962963,0.9575783721599079,0.9150345622119815,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
38,0.932732050119381,0.022422680257056703,0.9927959633498483,0.0025425252548637524,0.032295751571655276,0.004364824986568986,0.01528615951538086,0.0024869455741261936,,gini,15,1,5,0.9017072346179852,0.931712962962963,0.9575783721599079,0.9150345622119815,0.9576271186440678,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}"
40,0.9327262241321634,0.02080541929599002,0.9752453812273846,0.002708460826899462,0.018855905532836913,0.0013627167453021765,0.012725543975830079,0.006827316410959533,,entropy,,4,2,0.8931497683123114,0.949020737327189,0.9491379310344827,0.9406097210238712,0.931712962962963,"{'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
